race_id,lap_number,sector_index,split_s
90,2,2,5.962
90,2,3,4.837
90,3,1,5.649
90,3,2,5.645
90,3,3,4.736
91,1,1,6.285
91,1,2,7.076
91,1,3,4.546
91,2,1,4.227
91,2,2,7.847
91,2,3,6.004
91,3,1,4.048
91,3,2,6.079
91,3,3,4.506
91,1,1,6.285
91,1,2,7.076
91,1,3,4.546
91,2,1,4.227
91,2,2,7.847
91,2,3,6.004
91,3,1,4.048
91,3,2,6.079
91,3,3,4.506
92,1,1,4.975
92,1,2,6.617
92,1,3,4.682
92,2,1,6.374
92,2,2,5.933
92,2,3,4.341
92,3,1,3.959
92,3,2,6.03
92,3,3,4.549
93,1,1,6.262
93,1,2,5.189
93,1,3,4.353
93,2,1,4.12
93,2,2,6.6
93,2,3,4.505
93,3,1,4.5
93,3,2,5.563
93,3,3,5.768
93,1,1,6.262
93,1,2,5.189
93,1,3,4.353
93,2,1,4.12
93,2,2,6.6
93,2,3,4.505
93,3,1,4.5
93,3,2,5.563
93,3,3,5.768
94,1,1,5.167
94,1,2,5.436
94,1,3,4.67
94,2,1,4.939
94,2,2,7.152
94,2,3,4.416
94,3,1,4.074
94,3,2,5.529
94,3,3,4.805
93,1,1,6.262
93,1,2,5.189
93,1,3,4.353
93,2,1,4.12
93,2,2,6.6
93,2,3,4.505
93,3,1,4.5
93,3,2,5.563
93,3,3,5.768
94,1,1,5.167
94,1,2,5.436
94,1,3,4.67
94,2,1,4.939
94,2,2,7.152
94,2,3,4.416
94,3,1,4.074
94,3,2,5.529
94,3,3,4.805
95,1,1,5.34
95,1,2,5.758
95,1,3,4.106
95,2,1,5.096
95,2,2,5.571
95,2,3,5.169
95,3,1,4.77
95,3,2,5.396
95,3,3,4.601
96,1,1,8.004
96,1,2,6.108
96,1,3,6.135
96,2,1,4.878
96,2,2,4.623
96,2,3,4.404
96,3,1,5.071
96,3,2,5.049
96,3,3,4.444
97,1,1,6.048
97,1,2,5.124
97,1,3,5.314
97,2,1,5.29
97,2,2,5.974
97,2,3,6.037
97,3,1,5.059
97,3,2,6.366
97,3,3,4.804
98,1,1,5.702
98,1,2,5.582
98,1,3,5.423
98,2,1,4.873
98,2,2,5.725
98,2,3,4.465
98,3,1,4.91
98,3,2,5.798
98,3,3,4.192
98,1,1,5.702
98,1,2,5.582
98,1,3,5.423
98,2,1,4.873
98,2,2,5.725
98,2,3,4.465
98,3,1,4.91
98,3,2,5.798
98,3,3,4.192
99,1,1,5.27
99,1,2,8.411
99,1,3,4.828
99,2,1,5.601
99,2,2,5.677
99,2,3,5.226
99,3,1,4.032
99,3,2,6.828
99,3,3,4.131
98,1,1,5.702
98,1,2,5.582
98,1,3,5.423
98,2,1,4.873
98,2,2,5.725
98,2,3,4.465
98,3,1,4.91
98,3,2,5.798
98,3,3,4.192
99,1,1,5.27
99,1,2,8.411
99,1,3,4.828
99,2,1,5.601
99,2,2,5.677
99,2,3,5.226
99,3,1,4.032
99,3,2,6.828
99,3,3,4.131
100,1,1,4.86
100,1,2,5.71
100,1,3,4.252
100,2,1,4.542
100,2,2,6.717
100,2,3,4.841
100,3,1,4.475
100,3,2,7.238
